Area,MajorAxisLenght,MinorAxisLenght,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Class
462,55.5976,11.0358,0.9801,11.3722,530,462,1,24.2536,0.8717,0.4686,125.896,barley
,,,,,,,,,,,,
726,79.1036,13.0964,0.9862,2.1131,785,731,-3,30.4035,0.9248,0.6981,169.413,sunflowerSeeds
,,,,,,,,,,,,
503,60.8506,10.7383,0.9843,8.0487,547,506,-2,25.3069,0.9196,0.589,128.501,barley
,,,,,,,,,,,,
1967,94.7006,26.7795,0.9592,-29.4262,2029,1967,1,50.0446,0.9694,0.4592,206.459,sunflowerSeeds
,,,,,,,,,,,,
2643,122.3219,28.3406,0.9728,-24.1,2724,2643,1,58.0101,0.9703,0.4104,262.645,sunflowerSeeds
,,,,,,,,,,,,
330,45.5644,9.3204,0.9789,-8.8727,354,330,1,20.498,0.9322,0.6111,94.197,wheat
,,,,,,,,,,,,
2894,137.4146,28.4931,0.9783,12.3283,3071,2974,-4,60.7022,0.9424,0.5181,286.436,sunflowerSeeds
,,,,,,,,,,,,
682,52.478,16.8473,0.9471,2.8854,713,687,-1,29.4678,0.9565,0.7715,113.003,peas
,,,,,,,,,,,,
275,38.3128,9.2427,0.9705,10.1076,290,275,1,18.7121,0.9483,0.6757,79.029,wheat
,,,,,,,,,,,,
357,40.0678,11.4358,0.9584,12.9805,373,357,1,21.3201,0.9571,0.6538,84.686,wheat
,,,,,,,,,,,,
719,33.0848,27.9471,0.5352,-45.3879,737,719,1,30.2566,0.9756,0.749,94.388,peas
,,,,,,,,,,,,
563,48.2499,14.9264,0.9509,1.8335,583,563,1,26.7738,0.9657,0.7819,102.996,peas
,,,,,,,,,,,,
2002,152.7202,17.1762,0.9937,3.4961,2122,2002,1,50.4879,0.9434,0.6441,300.634,sunflowerSeeds
,,,,,,,,,,,,
167,26.3131,8.1643,0.9506,2.2354,174,167,1,14.5819,0.9598,0.8029,54.624,wheat
,,,,,,,,,,,,
153,22.8907,9.1342,0.9169,5.7203,172,155,-1,13.9573,0.8895,0.6375,57.205,barley
,,,,,,,,,,,,
3165,164.8357,24.8219,0.9886,-6.1606,3283,3165,1,63.4807,0.9641,0.6302,336.957,sunflowerSeeds
,,,,,,,,,,,,
148,63.0552,3.7128,0.9983,89.3305,234,151,-1,13.7273,0.6325,0.5193,115.897,barley
,,,,,,,,,,,,
493,67.4076,10.3287,0.9882,-6.181,714,493,1,25.0541,0.6905,0.4328,155.04,barley
,,,,,,,,,,,,
1055,77.2946,17.7528,0.9733,16.8662,1107,1055,1,36.6506,0.953,0.4769,169.348,sunflowerSeeds
,,,,,,,,,,,,
317,40.1801,10.16,0.9675,8.2026,342,317,1,20.0902,0.9269,0.6774,83.619,wheat
,,,,,,,,,,,,
434,44.2403,13.7047,0.9508,7.8207,452,434,1,23.5071,0.9602,0.6596,101.582,sunflowerSeeds
,,,,,,,,,,,,
219,25.5129,11.4965,0.8927,-0.7373,233,219,1,16.6985,0.9399,0.73,57.924,barley
,,,,,,,,,,,,
2315,86.0321,35.0392,0.9133,19.7902,2377,2315,1,54.2913,0.9739,0.6264,200.221,sunflowerSeeds
,,,,,,,,,,,,
322,23.706,22.9863,0.2445,-88.4522,425,322,1,20.248,0.7576,0.46,85.1,barley
,,,,,,,,,,,,
2038,108.7794,24.2322,0.9749,-16.3855,2121,2038,1,50.9398,0.9609,0.4995,227.711,sunflowerSeeds
,,,,,,,,,,,,
293,33.3377,11.2793,0.941,-16.9926,302,293,1,19.3147,0.9702,0.654,71.322,wheat
,,,,,,,,,,,,
477,60.9938,10.1997,0.9859,-7.1768,526,480,-2,24.6442,0.9068,0.6015,127.674,barley
,,,,,,,,,,,,
696,51.862,17.2665,0.943,0.3793,721,699,-1,29.7687,0.9653,0.7873,112.176,peas
,,,,,,,,,,,,
323,39.1222,10.6022,0.9626,4.2092,340,323,1,20.2795,0.95,0.7529,82.205,wheat
,,,,,,,,,,,,
2276,57.1388,51.6601,0.4273,-22.6546,2313,2276,1,53.8321,0.984,0.7829,170.192,sunflowerSeeds
,,,,,,,,,,,,
588,46.0115,16.3333,0.9349,-0.6497,603,588,1,27.3617,0.9751,0.8167,100.176,peas
,,,,,,,,,,,,
628,45.2198,17.7586,0.9197,2.1907,652,628,1,28.2771,0.9632,0.7585,101.814,peas
,,,,,,,,,,,,
570,44.968,16.2119,0.9328,2.8136,584,570,1,26.9397,0.976,0.7917,98.795,peas
,,,,,,,,,,,,
597,47.4411,16.0932,0.9407,-2.2328,624,597,1,27.5703,0.9567,0.7316,103.782,peas
,,,,,,,,,,,,
101,15.3393,8.8939,0.8147,16.3628,117,101,1,11.3401,0.8632,0.526,41.409,sunflowerSeeds
,,,,,,,,,,,,
290,33.8639,10.9884,0.9459,-19.4235,306,290,1,19.2156,0.9477,0.6042,71.909,wheat
,,,,,,,,,,,,
680,51.3545,16.9163,0.9442,2.2331,714,680,1,29.4245,0.9524,0.7407,113.599,peas
,,,,,,,,,,,,
303,34.3429,11.3535,0.9438,-15.2094,317,303,1,19.6416,0.9558,0.6366,74.142,wheat
,,,,,,,,,,,,
300,45.8093,8.4752,0.9827,-7.9281,337,300,1,19.5441,0.8902,0.5556,92.989,wheat
,,,,,,,,,,,,
288,43.4167,8.577,0.9803,6.6516,307,288,1,19.1492,0.9381,0.6857,86.778,wheat
,,,,,,,,,,,,
288,34.8326,10.9689,0.9491,-13.851,307,295,-4,19.1492,0.9381,0.6516,73.935,barley
,,,,,,,,,,,,
382,54.9589,9.2403,0.9858,-6.6625,437,385,-1,22.054,0.8741,0.6431,118.395,barley
,,,,,,,,,,,,
